axis_lat,axis_lon,r2,rmse
-20.0,94.0,0.0009504425543483963,33.56789799205995
-20.0,96.0,0.0009212200681328886,33.568388923794
-20.0,98.0,0.0008901054493180016,33.56891163507296
-20.0,100.0,0.0008572236186703552,33.569464025851836
-20.0,102.0,0.000822705276914748,33.57004389904471
-20.0,104.0,0.0007866875200511769,33.57064895021493
-20.0,106.0,0.0007493145142786206,33.57127675626492
-20.0,108.0,0.000710738218039797,33.57192476333529
-20.0,110.0,0.0006711191372190672,33.57259027414785
-18.0,40.0,0.0007956501267540883,33.57049839117301
-18.0,42.0,0.0008430297680074306,33.56970246938477
-18.0,44.0,0.00088812619305223,33.56894488539214
-18.0,46.0,0.000930693741860944,33.56822976881818
-18.0,48.0,0.0009705237269949096,33.56756062834396
-18.0,50.0,0.0010074427682915665,33.56694037957448
-18.0,52.0,0.0010413107093371066,33.566371379943234
-18.0,54.0,0.0010720182408714418,33.56585546855474
-18.0,56.0,0.001099484343347501,33.56539400908012
-18.0,58.0,0.0011236536459826585,33.56498793407042
-18.0,60.0,0.0011444937840592306,33.56463778931317
-18.0,62.0,0.0011619928208480568,33.56434377711606
-18.0,64.0,0.001176156786056315,33.56410579764419
-18.0,66.0,0.001187007369592541,33.563923487657625
-18.0,68.0,0.0011945797979551198,33.563796256188986
-18.0,70.0,0.0011989209107904353,33.56372331686461
-18.0,72.0,0.0012000874471262968,33.56370371670845
-18.0,74.0,0.0011981445443569605,33.563736361375504
-18.0,76.0,0.0011931644480900339,33.56382003684571
-18.0,78.0,0.0011852254272889384,33.563953427670874
-18.0,80.0,0.0011744108865484604,33.56413513191097
-18.0,82.0,0.0011608086656478278,33.56436367292507
-18.0,84.0,0.0011445105155473145,33.56463750819826
-18.0,86.0,0.001125611739561272,33.56495503539392
-18.0,88.0,0.0011042109884151774,33.565314595820624
-18.0,90.0,0.001080410198127213,33.56571447549964
-18.0,92.0,0.0010543146600566766,33.566152904012014
-18.0,94.0,0.0010260332129082839,33.56662805129699
-18.0,96.0,0.0009956785469109608,33.567138022566056
-18.0,98.0,0.0009633676107168032,33.56768085149181
-18.0,100.0,0.000929222111725303,33.568254491827894
-18.0,102.0,0.0008933691004803235,33.568856807617266
-18.0,104.0,0.0008559416294617872,33.56948556215167
-18.0,106.0,0.0008170794759376765,33.57013840585593
-18.0,108.0,0.0007769299175423017,33.570812863287664
-18.0,110.0,0.0007356485478448027,33.57150631946631
-16.0,40.0,0.0008722972851356037,33.56921080037464
-16.0,42.0,0.0009212494720143294,33.56838842981847
-16.0,44.0,0.0009677037372237685,33.56760800437893
-16.0,46.0,0.0010114262478956304,33.56687345547444
-16.0,48.0,0.001052220854577568,33.566188081579256
-16.0,50.0,0.00108992708946265,33.56555458173973
-16.0,52.0,0.0011244177890812335,33.56497509541482
-16.0,54.0,0.0011555964678120478,33.564451246518985
-16.0,56.0,0.001183394553590178,33.56398418979662
-16.0,58.0,0.0012077685808096206,33.56357465793123
-16.0,60.0,0.0012286974187561972,33.5632230080722
-16.0,62.0,0.0012461795978971901,33.56292926673056
-16.0,64.0,0.0012602307815722247,33.56269317224318
-16.0,66.0,0.0012708814174812177,33.56251421422572
-16.0,68.0,0.0012781745920513732,33.56239166962504
-16.0,70.0,0.0012821641012954466,33.5623246351405
-16.0,72.0,0.0012829127441315036,33.56231205591256
-16.0,74.0,0.0012804908381270907,33.56235275047804
-16.0,76.0,0.0012749749531276722,33.5624454320672
-16.0,78.0,0.001266446854980563,33.562588726372695
-16.0,80.0,0.0012549926493966579,33.562781185957014
-16.0,82.0,0.0012407021146828567,33.56302130148722
-16.0,84.0,0.0012236682114525887,33.56330750999639
-16.0,86.0,0.0012039867573019336,33.56363820037354
-16.0,88.0,0.0011817562546959648,33.56401171627913
-16.0,90.0,0.0011570778607863375,33.56442635667603
-16.0,92.0,0.0011300554885073089,33.56488037415463
-16.0,94.0,0.0011007960289388663,33.56537197122077
-16.0,96.0,0.0010694096855285995,33.5658992947044
-16.0,98.0,0.0010360104112578927,33.56646042843927
-16.0,100.0,0.0010007164401435453,33.56705338435826
-16.0,102.0,0.0009636509045455321,33.56767609214806
-16.0,104.0,0.0009249425295579927,33.56832638760978
-16.0,106.0,0.0008847263952259654,33.569001999881394
-16.0,108.0,0.0008431447564397621,33.56970053769251
-16.0,110.0,0.0008003479090528121,33.57041947484399
-14.0,40.0,0.0009489998126122057,33.56792222999168
-14.0,42.0,0.0009993105331501662,33.56707700406414
-14.0,44.0,0.0010469210542316532,33.56627712219928
-14.0,46.0,0.0010916104482050493,33.565526299467344
-14.0,48.0,0.0011331958896684258,33.56482761089315
-14.0,50.0,0.00117153034519768,33.56418353015512
-14.0,52.0,0.001206499933203542,33.563595973843476
-14.0,54.0,0.001238021079770557,33.563066349163705
-14.0,56.0,0.0012660375796333945,33.56259560325127
-14.0,58.0,0.001290517653826706,33.56218427255855
-14.0,60.0,0.001311451078157333,33.56183253106672
-14.0,62.0,0.0013288464402191336,33.561540236351185
-14.0,64.0,0.001342728567832685,33.561306972777935
-14.0,66.0,0.0013531361587779678,33.56113209132731
-14.0,68.0,0.0013601196306758379,33.561014745726446
-14.0,70.0,0.001363739200813674,33.56095392472419
-14.0,72.0,0.001364063198517118,33.560948480463196
-14.0,74.0,0.0013611666071509099,33.56099715299717
-14.0,76.0,0.0013551298287836078,33.561098591069
-14.0,78.0,0.001346037661758226,33.561251369313055
-14.0,80.0,0.001333978479646114,33.561454002074576
-14.0,82.0,0.00131904359912427,33.56170495405497
-14.0,84.0,0.001301326824015847,33.562002647997176
-14.0,86.0,0.0012809241529079252,33.56234546962242
-14.0,88.0,0.0012579336382613215,33.56273177002118
-14.0,90.0,0.0012324553856395415,33.56315986568971
-14.0,92.0,0.0012045916824842129,33.56362803638972
-14.0,94.0,0.0011744472466974631,33.564134520995026
-14.0,96.0,0.001142129586039542,33.56467751147655
-14.0,98.0,0.0011077494599915916,33.56525514516615
-14.0,100.0,0.0010714214361715602,33.56586549543239
-14.0,102.0,0.0010332645336048607,33.5665065608981
-14.0,104.0,0.0009934029450771042,33.567176253330274
-14.0,106.0,0.0009519668303870077,33.567872384340234
-14.0,108.0,0.0009090931715401984,33.56859265104462
-14.0,110.0,0.0008649266797273736,33.56933462085809
-12.0,40.0,0.0010253343857824504,33.566639791976364
-12.0,42.0,0.0010767961393827186,33.565775195279
-12.0,44.0,0.0011253692215749123,33.564959110032795
-12.0,46.0,0.0011708464037585298,33.56419502158371
-12.0,48.0,0.0012130587010362737,33.563485772788404
-12.0,50.0,0.00125187278585559,33.56283360735328
-12.0,52.0,0.0012871881189978618,33.562240217941216
-12.0,54.0,0.0013189339217315466,33.56170679696594
-12.0,56.0,0.0013470660948429192,33.56123408829708
-12.0,58.0,0.0013715641717662042,33.560822438409126
-12.0,60.0,0.0013924283751419742,33.560471845807754
-12.0,62.0,0.0014096768295934758,33.560182007844325
