n,gradient_r2,gradient_axis_lat,gradient_axis_lon,raw_best_harmonic_k,raw_best_harmonic_r2,residual_best_harmonic_k,residual_best_harmonic_r2,l1_r2,l1_delta_r2,l2_r2,l2_delta_r2,l3_r2,l3_delta_r2
81,0.040706543274063534,72.56736704955496,-171.52011710971786,8,0.07123632375404787,8,0.07364771333265563,0.040706543274063534,0.040706543274063534,0.10722026710626498,0.06651372383220144,0.20965157431393877,0.1024313072076738
81,0.03601243779994301,50.49745895013705,-150.42461172915066,2,0.03887648530418564,3,0.057425388358070206,0.03601243779994301,0.03601243779994301,0.08448243586618898,0.04846999806624597,0.16121368502528965,0.07673124915910068
81,0.010701267459230168,39.8757528828435,-178.59218777090524,8,0.07034887274705215,8,0.06594500490536626,0.010701267459230168,0.010701267459230168,0.12495027836665551,0.11424901090742534,0.22074218385358735,0.09579190548693184
81,0.021260646565975372,34.23882767723959,-153.8231105736821,8,0.04931383489690189,3,0.0470969291696417,0.021260646565975372,0.021260646565975372,0.08812734216690099,0.06686669560092562,0.19719402711814904,0.10906668495124805
81,0.033037092681564184,36.51200512726972,-172.04214164930968,2,0.0680517908896554,2,0.06405950724010967,0.033037092681564184,0.033037092681564184,0.11548312859238286,0.08244603591081867,0.22538367878979237,0.10990055019740952
81,0.04874537440022042,60.08112465371578,-99.4982578608981,2,0.16070508574702758,2,0.14411722370737035,0.04874537440022042,0.04874537440022042,0.2529937984362153,0.20424842403599486,0.2945770491823123,0.041583250746097034
81,0.03978447557764686,84.59719125074014,-160.36457090442374,2,0.05223574568173173,2,0.05925623401272739,0.03978447557764686,0.03978447557764686,0.1290269981294836,0.08924252255183673,0.22978293318979304,0.10075593506030944
81,0.05044382109218826,82.42696440229324,-56.8311350476213,8,0.07121532256662522,8,0.08035483229495421,0.05044382109218826,0.05044382109218826,0.1630338859360756,0.11259006484388734,0.27981720293792345,0.11678331700184785
81,0.012158345118028935,61.58002799349264,-158.97663263523313,8,0.057779276351635045,3,0.05938982471844445,0.012158345118028935,0.012158345118028935,0.12717423409352002,0.11501588897549109,0.231111482672695,0.10393724857917497
81,0.04623404808321541,42.78872684463935,-128.51213172134294,2,0.0627427055209474,3,0.05526031297298284,0.04623404808321541,0.04623404808321541,0.1363778687851207,0.0901438207019053,0.23938232502198598,0.10300445623686527
81,0.08178811144568865,65.08824200581228,-62.31933421211771,4,0.08678043933204971,4,0.08616554592647918,0.08178811144568865,0.08178811144568865,0.20886774993812962,0.12707963849244097,0.22631804388221088,0.017450293944081263
81,0.0005287677793520684,-76.84682872851688,95.40287320216092,8,0.06445570890705854,8,0.06285774489877793,0.0005287677793520684,0.0005287677793520684,0.1789166499778032,0.17838788219845114,0.319232830667998,0.1403161806901948
81,0.0005720504441767416,11.87354814318446,-179.22345098253348,5,0.0966909948292054,5,0.09743976640496654,0.0005720504441767416,0.0005720504441767416,0.19108924055827037,0.19051719011409363,0.22617837761508863,0.035089137056818265
81,0.018123006343975456,81.27058959212614,-153.709220219535,2,0.051589008094959254,2,0.05426236430269815,0.018123006343975456,0.018123006343975456,0.12066109983681594,0.10253809349284049,0.2567720875019628,0.13611098766514684
81,0.03662961444266333,66.13786913405654,-29.05443523984109,2,0.09808403868637616,2,0.09565942375358694,0.03662961444266333,0.03662961444266333,0.20602301933546696,0.16939340489280363,0.23319703624329768,0.027174016907830723
81,0.04997561878057177,83.92865451587787,-6.4246839905696165,8,0.07740203697521797,8,0.0832463516153531,0.04997561878057177,0.04997561878057177,0.13942648103005806,0.08945086224948628,0.2603345520309793,0.12090807100092127
81,0.05719691454246045,51.387105732928006,-157.48698848357347,2,0.05057959617658225,2,0.03880184519217733,0.05719691454246045,0.05719691454246045,0.1042222111731832,0.047025296630722746,0.18533457939650633,0.08111236822332313
81,0.028493533685133077,50.92080460161598,-140.13024495383686,2,0.06931969519068304,2,0.05818786224911754,0.028493533685133077,0.028493533685133077,0.15160555866279068,0.12311202497765761,0.22585361389512926,0.07424805523233857
81,0.017319924935711106,65.98825862968155,125.81798072277692,2,0.058056486301794386,2,0.06596759863958934,0.017319924935711106,0.017319924935711106,0.12431112310451264,0.10699119816880154,0.22810174550990436,0.10379062240539172
81,0.04218305610199524,41.17618844642624,-121.17497661869791,2,0.06559023005554154,5,0.0712256675216767,0.04218305610199524,0.04218305610199524,0.12522016600526276,0.08303710990326751,0.18625612620151932,0.06103596019625657
81,0.06935553711731968,45.188925914337695,-145.52804130608908,2,0.0693050184963181,2,0.0495306666281613,0.06935553711731968,0.06935553711731968,0.12395832748077706,0.05460279036345739,0.23561128742414472,0.11165295994336766
