name,axis_lat,axis_lon,angle_deg,lambda_q,rotated_pole_lat,rotated_pole_lon,rotation_only_r2,constrained_joint_r2,quadrupole_gain_r2,rotation_only_rmse,constrained_joint_rmse,spearman_pred_obs,rotation_coeff,quadrupole_coeff_norm
best_07_40N_110E_107,40.0,110.0,107.0,30000.0,13.981297107547157,60.98011480143162,0.0006399939772067098,0.010436652910904787,0.009796658933698077,33.57311309707828,33.40815033672219,0.40485791011634836,0.9690728879103446,0.7402556128360123
observed_77E_104,0.0,77.0,104.0,30000.0,-14.000000000000004,-12.999999999999996,5.708754695932239e-05,0.009674920452073743,0.00961783290511442,33.58290292783399,33.421006096382754,0.3203327768737797,-0.33434801876877346,0.7328589651538207
observed_77E_107,0.0,77.0,107.0,30000.0,-16.999999999999996,-12.999999999999996,1.5310502902043943e-05,0.00954894745246615,0.009533636949564106,33.58360445776333,33.42313166635814,0.35413288658227743,0.029982019075982455,0.7300195252291551
ECDO_31E_26,0.0,31.0,26.0,100000.0,64.00000000000001,-59.00000000000001,0.038012966760200495,0.038532480225160204,0.0005195134649597088,32.93936631252479,32.9304707896543,0.3257746383105877,-6.533418556159354,0.09543487131305964
ECDO_31E_52,0.0,31.0,52.0,100000.0,38.0,-59.00000000000001,0.020913371970166295,0.023192184540991367,0.002278812570825073,33.23083013534446,33.19213542439495,0.19616463938717432,-4.8829413279818565,0.1993388456061234
ECDO_31E_107,0.0,31.0,107.0,100000.0,-16.999999999999996,-59.00000000000001,0.00834371012981816,0.010762107349878147,0.002418397220059987,33.44346107005107,33.40265613314899,0.34523654866060227,3.071884241784681,0.20622502573652468
ECDO_31E_104,0.0,31.0,104.0,100000.0,-14.000000000000004,-59.00000000000001,0.006517711138410265,0.009055138437919275,0.0025374272995090097,33.47423768121131,33.431462510675026,0.32524525272234284,2.7072022262119035,0.21124482078397697
ECDO_149W_104,0.0,-149.0,104.0,100000.0,-14.000000000000004,121.0,0.0019985963377785465,0.005446848732034493,0.003448252394255946,33.550284475153056,33.492273558018745,-0.046882281962396515,-1.57260002648626,0.2457938072228414
best_07_40N_110E_107,40.0,110.0,107.0,100000.0,13.981297107547157,60.98011480143162,0.0006399939772067098,0.003982360318680489,0.003342366341473779,33.57311309707828,33.516923323338936,0.36734690081506133,0.8858492145864397,0.2422032899885606
observed_77E_104,0.0,77.0,104.0,100000.0,-14.000000000000004,-12.999999999999996,5.708754695932239e-05,0.0033484956968663493,0.003291408149907027,33.58290292783399,33.52758669517638,0.2558884964812093,-0.28116633888527026,0.24028825394868605
observed_77E_107,0.0,77.0,107.0,100000.0,-16.999999999999996,-12.999999999999996,1.5310502902043943e-05,0.003271633798397122,0.0032563232954950783,33.58360445776333,33.528879496256174,0.37935701546246026,0.09738185882750626,0.23904631889326855
