mode,n,l1_r2,l1_l2_r2,l2_delta_r2,residual_l2_r2,l2_norm_residual_model
global,3176,0.0009680257502165945,0.004050052633510326,0.0030820268832937314,0.002562282137676619,7.109447255712974
global,3176,0.0009537845606029105,0.00242639115747989,0.0014726065968769797,0.0013224000364979727,4.583829135431798
global,3176,0.0007992917772284835,0.003960883471612053,0.00316159169438357,0.0027973386749369222,9.165715272662416
global,3176,0.0007926588509787891,0.0029989020966254554,0.0022062432456466663,0.0012606519128084415,4.585087128944826
global,3176,0.00085687430895931,0.002274061354378909,0.001417187045419599,0.0010250205879585028,4.370375942560962
global,3176,8.617213225059484e-05,0.0007791854343531801,0.0006930133021025853,0.0006220459392822786,3.4452005781964035
global,3176,0.0006156494013681568,0.0021890821928474136,0.0015734327914792567,0.0011356595093360289,3.4748590753947317
global,3176,0.00037213386728485176,0.0025370006105396303,0.0021648667432547786,0.0012492830827385282,3.9484312795507037
global,3176,0.0007623326832428834,0.0033866651986100837,0.0026243325153672004,0.002226761342583705,4.845103668565452
global,3176,0.0015755553350145224,0.0037874660728414167,0.0022119107378268943,0.0015421815870594324,2.9598539848109096
global,3176,0.00017825409876781606,0.0011150917828013363,0.0009368376840335202,0.0006469584215244017,3.60519219442002
global,3176,0.0014794519007140794,0.0026607938817776455,0.0011813419810635661,0.0009944867729055895,3.969688616582506
global,3176,0.002336449832511134,0.0043210093594122645,0.0019845595269011307,0.0016986611673419638,7.621008016261204
global,3176,0.0003525481022519372,0.0027024991698423317,0.0023499510675903945,0.0016881406158819612,4.795926467551021
global,3176,0.0004907791180717158,0.004290585778359168,0.0037998066602874525,0.0037138276321028174,5.390171888429471
global,3176,0.0008120522108311379,0.0033256682116939995,0.0025136160008628616,0.0020947702715125027,6.7373495726072825
global,3176,0.001228326475905761,0.004009212689785158,0.0027808862138793966,0.001966279420464123,5.5250456785902955
global,3176,0.0001495207304088586,0.000775579977529528,0.0006260592471206694,0.00033872690022984653,2.2517457092651063
global,3176,0.0007230643355381483,0.0025850452239730703,0.001861980888434922,0.0014480597948722806,4.210513480132349
global,3176,0.00016862199700307112,0.0009111489531845596,0.0007425269561814885,0.000652206692677515,3.0414524756968824
global,3176,0.0013109625238665323,0.0019297183805421225,0.0006187558566755902,0.0005868334975989153,2.619388989882026
global,3176,0.0013431523764934061,0.001983925205165993,0.0006407728286725867,0.0005177210083892048,2.6659021887614824
global,3176,0.000627293735711909,0.0024259457142221663,0.0017986519785102573,0.0014540802120112106,6.778724227443753
global,3176,0.0008959412418872992,0.0025091780169762545,0.0016132367750889554,0.0008478959961928378,3.5624831986084473
global,3176,0.0008982121016347655,0.002361924740887811,0.0014637126392530453,0.0009711214005501123,3.475877833436258
global,3176,0.001769310796460366,0.003442844498783293,0.0016735337023229269,0.0009529575648020705,4.774303271430751
global,3176,0.0006045162471784993,0.005366944118460282,0.0047624278712817825,0.0038675792442637302,8.430169392628946
global,3176,0.0002754785922098879,0.0008150978156664657,0.0005396192234565778,0.0005169128088929886,2.6899375325071313
global,3176,0.0010852868891163547,0.0037692906830816275,0.0026840037939652728,0.0012054458912488242,2.5281631680885877
global,3176,0.00014053550701653705,0.0005671159332851783,0.00042658042626864123,0.0002674193278536796,2.1565133811720907
global,3176,0.0005211344442306309,0.002331238826490112,0.001810104382259481,0.0016291115682592894,5.4135211922243345
global,3176,0.0012655563069965403,0.0036650139762350875,0.002399457669238547,0.0018501786288731559,3.9493521359038417
global,3176,0.0005578176524668743,0.00097947518746766,0.0004216575350007856,0.0003149986608752542,2.2270347703048254
global,3176,2.14599351697764e-05,0.0006532916289695434,0.000631831693799767,0.0005276736528501136,3.160727542681069
global,3176,0.0008297185928638484,0.0013489607241163881,0.0005192421312525397,0.00031516363637651423,2.273935262214352
global,3176,0.002146183555251202,0.002783447565810282,0.0006372640105590799,0.0004949843443042834,2.086294069301841
global,3176,0.0033318933940470474,0.005467698389766684,0.0021358049957196368,0.001426089799353214,4.856630770734308
global,3176,0.0009393673103493816,0.0011045348816650646,0.00016516757131568305,0.00011554051301554402,1.125731715648209
global,3176,0.0003348477943293515,0.0015058958728022542,0.0011710480784729027,0.0008405464971459331,4.36194122921539
global,3176,4.73891970792506e-05,0.00218954864087062,0.0021421594437913694,0.0011764263265839903,4.871354876432387
global,3176,0.002412247741116924,0.004374239057181706,0.0019619913160647817,0.0016902521596803277,3.9505402060183585
global,3176,0.0009689166017891049,0.004412768152375124,0.003443851550586019,0.001829349444840811,4.60665694243299
global,3176,0.00047004919349824537,0.0012269349535136698,0.0007568857600154244,0.0007398163063013774,3.119203610553992
global,3176,0.002319516776177255,0.006919293872814536,0.004599777096637281,0.0031741546673877963,9.005173367046389
global,3176,0.0014322994339006634,0.0043855978344132795,0.002953298400512616,0.0020975901362725313,5.1441837894982765
global,3176,0.002271268057327136,0.004220355332705261,0.0019490872753781252,0.001611418506491158,4.661423154659913
global,3176,0.0007196047201581957,0.0019832253330916982,0.0012636206129335026,0.0010491076370119368,4.735735695224568
global,3176,0.00016512690504300043,0.002273204551257235,0.0021080776462142348,0.0013507368505968342,4.596841396801197
global,3176,0.0011234252008381906,0.002445295227909816,0.0013218700270716255,0.001207714391249337,4.364243832780644
global,3176,0.00022918124871373902,0.003160838364625107,0.002931657115911368,0.0025384371622824142,9.345070528738809
global,3176,0.000786472898324786,0.0014026119870045317,0.0006161390886797458,0.0003666010082604698,2.3220006116042655
global,3176,0.0005743791991796865,0.0016980244430571112,0.0011236452438774247,0.0008373665548080389,4.165379950131915
global,3176,0.00017626276205429114,0.001987703343435898,0.001811440581381607,0.0016773896969918267,5.505541075171328
global,3176,0.00041133948827032363,0.0014272277001894373,0.0010158882119191137,0.0007483868498550095,4.6916120317793615
